datetime,open,high,low,close,tick_volume,volume,spread
2020-01-02 00:00:00,108.705,108.842,108.692,108.837,6673,0,3
2020-01-02 12:00:00,108.837,108.864,108.21,108.566,17968,0,3
2020-01-03 00:00:00,108.555,108.627,107.914,108.066,25280,0,3
2020-01-03 12:00:00,108.066,108.265,107.839,108.101,28552,0,3
2020-01-06 00:00:00,107.884,108.175,107.769,107.983,25865,0,3
2020-01-06 12:00:00,107.983,108.504,107.979,108.365,18903,0,3
2020-01-07 00:00:00,108.362,108.505,108.259,108.465,21021,0,3
2020-01-07 12:00:00,108.465,108.628,108.315,108.439,21783,0,3
2020-01-08 00:00:00,108.439,108.509,107.647,108.445,51707,0,3
2020-01-08 12:00:00,108.444,109.243,108.423,109.103,30717,0,3
2020-01-09 00:00:00,109.103,109.43,109.01,109.429,20630,0,3
2020-01-09 12:00:00,109.429,109.58,109.316,109.514,20284,0,3
2020-01-10 00:00:00,109.513,109.647,109.451,109.638,13802,0,2
2020-01-10 12:00:00,109.638,109.688,109.432,109.5,16507,0,3
2020-01-13 00:00:00,109.52,109.881,109.501,109.847,10690,0,3
2020-01-13 12:00:00,109.848,109.944,109.799,109.942,13086,0,3
2020-01-14 00:00:00,109.939,110.212,109.884,110.018,15730,0,3
2020-01-14 12:00:00,110.018,110.112,109.85,109.982,20303,0,3
2020-01-15 00:00:00,109.973,110.008,109.815,109.866,13701,0,3
2020-01-15 12:00:00,109.866,110.003,109.788,109.892,18016,0,3
2020-01-16 00:00:00,109.883,110.063,109.848,109.999,12198,0,3
2020-01-16 12:00:00,109.998,110.178,109.925,110.151,15296,0,3
2020-01-17 00:00:00,110.136,110.287,110.121,110.176,12799,0,3
2020-01-17 12:00:00,110.176,110.212,110.046,110.161,14121,0,3
2020-01-20 00:00:00,110.105,110.215,110.102,110.165,11265,0,3
2020-01-20 12:00:00,110.165,110.198,110.134,110.178,7437,0,3
2020-01-21 00:00:00,110.178,110.22,109.887,109.953,17384,0,3
2020-01-21 12:00:00,109.954,110.119,109.76,109.859,17316,0,3
